material,codec,texture,mse,psnr_db,ssim
material_09,bc,normal,0.0008852535868641979,30.52932304894988,0.766048658028171
material_09,bc,roughness,8.759922073393268e-05,40.57499757216146,0.9541669413717415
material_09,bc,metallic,4.3512711764492026e-08,73.61383850109803,0.9999200774071454
material_09,astc,diffuse,0.0005011579256954729,33.00025396986142,0.88200328919024
material_09,astc,normal,0.0005141725954275965,32.88891074273745,0.8309499627450184
material_09,astc,roughness,5.732109210747959e-05,42.416855438201615,0.9645856259968691
material_09,astc,metallic,1.5420413197317163e-05,48.11903989001628,0.866809646688478
material_10,ntc,diffuse,6.432078947330454e-05,41.91648633696863,0.991058518119876
material_10,ntc,normal,4.050923678595086e-05,43.92445939062091,0.9926478094968149
material_10,ntc,roughness,4.793774303095113e-06,53.193224169497924,0.9970208173777074
material_10,ntc,metallic,5.86650936842699e-11,102.31620231452105,0.9999999164150921
material_10,bc,diffuse,0.0018139029198983977,27.413859600987717,0.7209510106743667
material_10,bc,normal,0.0021472427916162536,26.68118846528971,0.8015751893227797
material_10,bc,roughness,4.604800236905743e-05,43.36789205400096,0.977611073444399
material_10,bc,metallic,1.0300166893585399e-10,99.8715573836512,0.999999789549518
material_10,astc,diffuse,0.000769004228338149,31.140712722416417,0.8731306951050112
material_10,astc,normal,0.0007846108171316616,31.053457087119543,0.8704183279297273
material_10,astc,roughness,2.9183582232095078e-05,45.348614003059836,0.9808124939331301
material_10,astc,metallic,1.449841792176336e-05,48.38679385719129,0.8789860526996488
material_11,ntc,diffuse,1.4032752843006472e-05,48.52857123893023,0.9950095119033279
material_11,ntc,normal,1.5070138426327668e-05,48.21882758467442,0.9935970660340451
material_11,ntc,roughness,4.639949621305873e-05,43.33486734813145,0.9913553612300036
material_11,ntc,metallic,0.0,inf,1.0
material_11,bc,diffuse,0.00048015698107421067,33.18616752481813,0.9099905621518122
material_11,bc,normal,0.0008458487688702002,30.72707278469541,0.8514218602140615
material_11,bc,roughness,0.0011324171216620963,29.459935729106476,0.846245745099073
material_11,bc,metallic,0.0,inf,1.0
material_11,astc,diffuse,0.00012242487486585212,39.121303312149735,0.952493255026285
material_11,astc,normal,0.00022665992023952134,36.44625268394391,0.911328660898855
material_11,astc,roughness,0.0004113052989237671,33.85835695357034,0.9095012676778023
material_11,astc,metallic,1.5259025527653332e-05,48.16473200422823,0.8692606856914408
material_12,ntc,diffuse,5.0158881565778815e-05,42.99652155893966,0.9873670529541981
material_12,ntc,normal,6.128838162332098e-05,42.12621846445916,0.9926284783872102
material_12,ntc,roughness,1.6663761417720256e-05,47.78226960997739,0.9936683677588193
material_12,ntc,metallic,2.7865919500028205e-10,95.54926621827238,0.9999996062773883
material_12,bc,diffuse,0.001305235429368291,28.843111462155182,0.7040976386544918
material_12,bc,normal,0.003093692250903144,25.09522890501566,0.7730614892046891
material_12,bc,roughness,0.00016610487256391306,37.79617627653468,0.9220600027296252
material_12,bc,metallic,3.420909221932109e-09,84.65858450204604,0.9999899368895548
material_12,astc,diffuse,0.0004829841429545096,33.160671275101926,0.8558981785815192
material_12,astc,normal,0.001418662540582923,28.481208985468676,0.860795057721354
material_12,astc,roughness,0.00011502925371335695,39.39191697814691,0.9363757044337867
material_12,astc,metallic,1.5374067776368192e-05,48.132112086812285,0.8667710825145392
material_13,ntc,diffuse,1.6484126913807402e-05,47.829340504351194,0.9947152390673079
material_13,ntc,normal,3.128127500339601e-05,45.0471555370508,0.9917359673261238
material_13,ntc,roughness,6.722936820668742e-05,41.724409700428915,0.990012784304518
